,hotel,rating,kind_rat,reviews,reviews_clean,price,price_clean
0,"Crowne Plaza Hotel Riyadh Minhal, an IHG Hotel",8.7,Excellent,"1,303 reviews",1303,SAR 440,440
1,"InterContinental Riyadh, an IHG Hotel",7.8,Good,"1,298 reviews",1298,SAR 585,585
2,Al Waha Palace Hotel,7.8,Good,"2,060 reviews",2060,SAR 307,307
3,Aloft Riyadh Hotel,8.2,Very Good,"2,929 reviews",2929,SAR 575,575
4,Najmat Manami Azizyya,6.9,Review score,111 reviews,111,SAR 162,162
5,Centro Waha by Rotana,7.5,Good,"6,581 reviews",6581,SAR 560.36,560.36
6,Courtyard by Marriott Riyadh Olaya,8.3,Very Good,"2,883 reviews",2883,SAR 650,650
7,Courtyard Riyadh by Marriott Diplomatic Quarter,8.1,Very Good,"2,423 reviews",2423,SAR 575,575
8,Hilton Riyadh Hotel & Residences,7.5,Good,"10,329 reviews",10329,SAR 680,680
9,"The Ritz-Carlton, Riyadh",8.6,Excellent,"3,389 reviews",3389,SAR 999,999
10,Rest Night Hotel Suites- - AL Nafal,7.4,Good,"2,151 reviews",2151,SAR 250,250
11,Sheraton Riyadh Hotel & Towers,7.9,Good,944 reviews,944,SAR 700,700
12,Hilton Garden Inn Riyadh Financial District,7.5,Good,873 reviews,873,SAR 502,502
13,Novotel Riyadh Al Anoud,7.2,Good,"3,081 reviews",3081,SAR 405,405
14,"Holiday Inn Riyadh Izdihar, an IHG Hotel",7.7,Good,"1,607 reviews",1607,SAR 380,380
15,"Holiday Inn Olaya, an IHG Hotel",7.7,Good,"1,791 reviews",1791,SAR 413,413
16,"Burj Rafal Riyadh, a Marriott International Hotel",7.9,Good,"4,624 reviews",4624,SAR 975,975
17,Executives Hotel - Olaya,7.9,Good,"5,651 reviews",5651,SAR 470.18,470.18
18,"Holiday Inn Meydan, an IHG Hotel",7.6,Good,"2,512 reviews",2512,SAR 380,380
19,Le Meridien Riyadh,8.1,Very Good,843 reviews,843,"SAR 1,100",1100
20,Centro Olaya by Rotana,7.9,Good,"4,166 reviews",4166,SAR 595,595
21,IntercityHotel Riyadh Malaz,8.0,Very Good,"2,583 reviews",2583,SAR 320,320
22,DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,7.6,Good,"3,369 reviews",3369,SAR 620,620
23,Ibis Riyadh Olaya Street,6.7,Review score,"4,295 reviews",4295,SAR 380,380
