Hotel_Name,Rating,Price,kind_rat,Reviews,Rooms
"Crowne Plaza Riyadh - RDC Hotel & Convention, an IHG Hotel",8.8,795,Excellent,2210,Deluxe King Room - Non-Smoking
"The Ritz-Carlton, Riyadh",8.6,999,Excellent,3395,"Deluxe, Guest room, 1 King"
Sheraton Riyadh Hotel & Towers,7.9,495,Good,938,"Classic Room, Guest room, 1 Queen"
"Radisson Blu Hotel, Riyadh",7.8,450,Good,2006,Standard Room
"Burj Rafal Riyadh, a Marriott International Hotel",7.9,975,Good,4617,"Deluxe, Guest room, 1 King, City view"
Radisson Blu Hotel Riyadh Qurtuba,8.0,990,Very Good,538,Standard Room
Hilton Riyadh Hotel & Residences,7.5,750,Good,10303,King Guest Room
Le Meridien Riyadh,8.1,850,Very Good,840,"Deluxe Room, Guest room, 2 Twin/Single Bed(s)"
Rosh Rayhaan by Rotana,8.2,627,Very Good,3077,Classic King Room
Riyadh Marriott Hotel,7.7,460,Good,925,"Guest Room, 1 King"
Hyatt Regency Riyadh Olaya,8.4,945,Very Good,6946,King Room
Fraser Suites Riyadh,7.9,855,Good,4134,Executive Studio King
Madareem Crown Hotel,7.2,567,Good,636,Deluxe Double/Twin Room
Marriott Riyadh Diplomatic Quarter,8.4,990,Very Good,294,"Deluxe Room, Guest room, 2 Double"
"Al Faisaliah Hotel, Riyadh",8.2,1955,Very Good,1388,Superior Room King
Vittori Palace Hotel and Residences,8.5,600,Very Good,1195,Standard Double Room
Shaza Riyadh,8.2,665,Very Good,4613,Superior King Room
Durrat Al Riyadh Resort & Spa,6.9,903,Review score,5132,Superior King with Balcony City View
"Radisson Blu Hotel & Residence, Riyadh Diplomatic Quarter",8.5,1325,Very Good,712,Superior Room
Corp Inn Deira.,6.7,300,Review score,741,Grand Room
Narcissus Hotel and SPA Riyadh,8.6,1200,Excellent,3466,Superior King Room
Riyadh Diplomatic Quarter - Marriott Executive Apartments,8.3,2275,Very Good,400,"1 Bedroom Apartment, 1 King, Terrace level"
Four Seasons Hotel Riyadh,8.6,1853,Excellent,1488,Superior Room with King Bed
Aspar Resorts,8.7,1550,Excellent,166,Superior King Room
"Holiday Inn Meydan, an IHG Hotel",7.6,400,Good,2510,Standard Room
Grand Plaza Hotel-Dhabab Riyadh,7.9,350,Good,979,Standard Queen Room
Braira AL Wezarat,8.5,912,Very Good,2816,Junior Suite
Novotel Riyadh Al Anoud,7.2,550,Good,3076,Superior Queen Room
Braira Qurtubah,8.1,900,Very Good,5444,Deluxe King Room
"Holiday Inn Riyadh Al Qasr, an IHG Hotel",7.2,500,Good,4268,Deluxe King Room - Non-Smoking
Hyatt Place Riyadh Sulaimania,8.6,1200,Excellent,1243,King Suite
Grand Plaza Gulf Hotel - Riyadh,8.0,1200,Very Good,3094,Executive Suite
Braira Hotel-Olaya,8.6,900,Excellent,3383,Superior Double Room
Centro Olaya by Rotana,7.9,400,Good,4169,Queen Room
Courtyard by Marriott Riyadh Northern Ring Road,8.1,775,Very Good,1110,"Standard, Guest room, 1 King"
Al Amoria Apartments,8.3,233,Very Good,65,One-Bedroom Apartment
Holiday Khaleej Hotel,8.2,567,Very Good,3599,Deluxe Double Room
Ascott Rafal Olaya Riyadh,7.2,924,Good,5224,Studio Executive
جولدن جاردن للأجنحة الفندقية,7.9,320,Good,242,One-Bedroom Apartment
Business Inn Tahlia Hotel,6.5,254,Review score,1110,Business King Room
HDB hotel Sahafa فندق هدب الصحافه,7.5,900,Good,1425,Suite
Grand Plaza Hotel-Takhasosi Riyadh,7.7,1199,Good,1847,Honeymoon Suite
IRIS BOUTIQUE GRANADA,8.8,550,Excellent,724,Deluxe Double Room (2 Adults + 1 Child)
Gardino Hotel & Residence - فندق جاردينو,8.6,802,Excellent,487,Deluxe Room
Mandarin Hotel Apartments,8.7,570,Excellent,421,One-Bedroom Apartment
Best Western Plus Fursan,8.4,550,Very Good,1487,Deluxe Twin Room - Non-Smoking
New Suite,7.5,284,Good,143,Deluxe Room (1 adult + 2 children)
Accor Palace Hotel,7.3,480,Good,300,Junior Suite
Ayan furnished units and Suites,8.1,1650,Very Good,3778,Family Suite
Millennia Olaya Hotel فندق ميلينيا العليا,7.3,908,Good,365, Executive Suite
Grand Plaza Gulf Hotel - Riyadh,8.0,417,Very Good,3099,Standard Double Room
Centro Olaya by Rotana,7.9,595,Good,4166,Queen Room
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,7.6,698,Good,3369,King Guest Room
Olian Hotel,7.6,355,Good,2059,Deluxe Double Room
"Holiday Inn Olaya, an IHG Hotel",7.7,475,Good,1791,Standard King Room
Ramada by Wyndham Hotel Riyadh,7.2,347,Good,1850,Classic King Room - Non-Smoking 
Executives Hotel / KAFD,8.1,750,Very Good,3495,Standard Twin Room
Melissa Hotel Riyadh,8.1,350,Very Good,1890,Standard Room
Rafa - Al Nuzhah,8.1,400,Very Good,1256,Deluxe Room (2 Adults + 1 Child)
Swiss International Royal Hotel Riyadh,8.0,745,Very Good,1476,Classic Room
"Marriott Executive Apartments Riyadh, Convention Center",8.2,950,Very Good,1115,One-Bedroom Apartment
IntercityHotel Riyadh Malaz,8.0,340,Very Good,2582,Superior King Room
Holiday Khaleej Hotel,8.2,495,Very Good,3598,Standard King Room
Ascott Rafal Olaya Riyadh,7.2,836,Good,5223,Studio Executive
Al Amoria Apartments,8.2,269,Very Good,66,One-Bedroom Apartment
Carawan Al Fahad Hotel,8.1,286,Very Good,2288,Deluxe Double Room
Novotel Suites Riyadh Olaya,7.2,400,Good,1581,Deluxe Room
Coupard Hotel,8.1,550,Very Good,191,Executive Suite
جولدن جاردن للأجنحة الفندقية,7.9,190,Good,245,Deluxe Apartment
HDB hotel Sahafa فندق هدب الصحافه,7.5,324,Good,1430,Deluxe Double Room
Rafa Hotel Apart,8.1,413,Very Good,666,Studio Apartment
Gardino Hotel & Residence - فندق جاردينو,8.6,613,Excellent,493,Deluxe Room
Novotel Suites Riyadh Dyar,6.2,275,Review score,3535,Standard Queen Room
Jazalah,8.9,327,Excellent,371,Twin Room
Al Diafah Apartments Olaya,8.1,290,Very Good,1027,One-Bedroom Apartment
Grand Plaza Hotel-Takhasosi Riyadh,7.7,500,Good,1850,Standard King Room
IRIS BOUTIQUE GRANADA,8.8,550,Excellent,726,Deluxe Double Room (2 Adults + 1 Child)
Business Inn Tahlia Hotel,6.5,243,Review score,1112,Business King Room
